-70_96__-3_81_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,
-70_98__-3_55_2021-01-17.jpg,0.0196,0.0166,0.032657879,,,
-71_02__-3_51_2021-01-17.jpg,0.0049,0.0038,0.007571229,,,
-71_02__-3_55_2021-01-17.jpg,0.0256,0.0094,0.018624926,,,
-71_12__-3_77_2021-01-17.jpg,0.0645,0.0316,0.061264056,,,
-71_12__-3_81_2021-01-17.jpg,0.5,0.0369,0.071173691,,,
-71_16__-3_81_2021-01-17.jpg,0.6923,0.0743,0.138322629,,,
-71_31__-3_68_2021-01-17.jpg,0.2576,0.0522,0.09922068,,,
-71_31__-3_72_2021-01-17.jpg,0.0714,0.026,0.050682261,,,
-71_35__-3_64_2021-01-17.jpg,0.45,0.0808,0.149518875,,,
-71_35__-3_68_2021-01-17.jpg,0,ading m,ading m,,,
-71_35__-3_72_2021-01-17.jpg,0.1682,0.0546,0.103546368,,,
-71_39__-3_68_2021-01-17.jpg,0.4637,0.067,0.125585754,,,
-71_48__-3_52_2021-01-17.jpg,0,ading m,ading m,,,
-71_48__-3_56_2021-01-17.jpg,0.3026,0.0498,0.094875214,,,
-71_52__-3_56_2021-01-17.jpg,1,0.0419,0.080429984,,,
-71_56__-3_48_2021-01-17.jpg,0,ading m,ading m,,,
-71_56__-3_6_2021-01-17.jpg,0.1111,0.0293,0.056931895,,,
-71_64__-3_48_2021-01-17.jpg,0,ading m,ading m,,,
-71_68__-3_44_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,
-71_68__-3_48_2021-01-17.jpg,0.5,0.0369,0.071173691,,,
-71_68__-3_52_2021-01-17.jpg,0,ading m,ading m,,,
-71_68__-3_56_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,
-73_74__-3_91_2019-09-03.jpg,0.0357,0.0127,0.025081465,,,
-73_78__-3_91_2019-09-03.jpg,0.0526,0.0164,0.03227076,,,
-73_82__-3_91_2019-09-03.jpg,0.0667,0.0187,0.036713458,,,
