-53_38__-0_13_2019-09-24.jpg,0.25,"0, 0.0322",0.0322,,"0, 0.0020",0.002,,,0.062391009,,0.003992016,,,0,,,,,
-53_38__-0_21_2019-09-24.jpg,0.0625,"0, 0.0224",0.0224,,"0, 0.0226",0.0226,,,0.043818466,,0.044201056,,,0.0302,,,,,
-53_42__-0_05_2019-09-24.jpg,1,"0, 0.0757",0.0757,,"0, 0.0723",0.0723,,,0.140745561,,0.134850322,,,-0.0002,,,,,
-53_42__-0_09_2019-09-24.jpg,0.5,"0, 0.0392",0.0392,,"0, 0.0380",0.038,,,0.075442648,,0.073217726,,,0.0034,,,,,
-53_42__-0_13_2019-09-24.jpg,1,"0, 0.0447",0.0447,,"0, 0.0265",0.0265,,,0.085574806,,0.051631758,,,0.0012,,,,,
-53_42__-0_21_2019-09-24.jpg,0.04,"0, 0.0147",0.0147,,"0, 0.0422",0.0422,,,0.028974081,,0.080982537,,,0.0182,,,,,
-53_42__-0_25_2019-09-24.jpg,0.5,"0, 0.0657",0.0657,,"0, 0.0)\n",0,,,0.12329924,,0,,,-0.0275,,,,,
-53_7__0_44_2019-09-24.jpg,0.3333,"0, 0.0346",0.0346,,"0, 0.0171",0.0171,,,0.066885753,,0.033625012,,,0.0657,,,,,
-53_74__0_28_2019-09-24.jpg,0.5,"0, 0.0386",0.0386,,"0, 0.0369",0.0369,,,0.07433083,,0.071173691,,,0.0175,,,,,
-53_74__0_44_2019-09-24.jpg,0.25,"0, 0.0317",0.0317,,"0, 0.0099",0.0099,,,0.061451972,,0.019605902,,,0.0017,,,,,
-53_74__0_48_2019-09-24.jpg,0.1435,"0, 0.0437",0.0437,,"0, 0.0420",0.042,,,0.083740538,,0.080614203,,,0.0218,,,,,
-53_78__0_32_2019-09-24.jpg,0,"0, 0.0)\n",0,,"0, 0.0)\n",0,,,0,,0,,,0.0017,,,,,
-53_78__0_36_2019-09-24.jpg,0.1667,"0, 0.0300",0.03,,"0, 0.0170",0.017,,,0.058252427,,0.033431662,,,0,,,,,
-53_78__0_44_2019-09-24.jpg,0.25,"0, 0.0313",0.0313,,"0, 0.0187",0.0187,,,0.060700087,,0.036713458,,,0.013,,,,,
-53_78__0_52_2019-09-24.jpg,0.0769,"0, 0.0208",0.0208,,"0, 0.0159",0.0159,,,0.040752351,,0.031302294,,,0.0126,,,,,
-53_8__0_31_2019-09-24.jpg,0.0417,"0, 0.0145",0.0145,,"0, 0.0055",0.0055,,,0.02858551,,0.010939831,,,0.0049,,,,,
-53_82__0_32_2019-09-24.jpg,0.2281,"0, 0.0561",0.0561,,"0, 0.0466",0.0466,,,0.106239939,,0.089050258,,,0.009,,,,,
-53_82__0_48_2019-09-24.jpg,0.0556,"0, 0.0173",0.0173,,"0, 0.0)\n",0,,,0.034011599,,0,,,0.0095,,,,,
-53_86__0_32_2019-09-24.jpg,0.0179,"0, 0.0127",0.0127,,"0, 0.0062",0.0062,,,0.025081465,,0.012323594,,,0.0173,,,,,
-53_86__0_36_2019-09-24.jpg,0.208,"0, 0.0515",0.0515,,"0, 0.0320",0.032,,,0.097955302,,0.062015504,,,0.0065,,,,,
-53_86__0_52_2019-09-24.jpg,0.3929,"0, 0.0615",0.0615,,"0, 0.0343",0.0343,,,0.115873764,,0.066325051,,,0.0195,,,,,
-53_86__0_56_2019-09-24.jpg,0.0556,"0, 0.0178",0.0178,,"0, 0.0061",0.0061,,,0.034977402,,0.012126031,,,0.0272,,,,,
