-52_19__0_62_2019-09-24.jpg,1,0.0419,0.080429984,,mean IoU,mean Dice,,ilegalTrue vs ilegalAgri,,,,,
-70_94__-3_51_2021-01-17.jpg,0.1182,0.0557,0.105522402,,,,,0.113207547,0.129442574,-0.016235027,,,
-70_96__-3_81_2021-01-17.jpg,0.5,0.0369,0.071173691,,,,,0.090327509,0.096144693,-0.005817184,,,
-70_98__-3_55_2021-01-17.jpg,0.0706,0.033,0.063891578,,,,,0.105522402,0.203216243,-0.097693841,,,
-71_02__-3_51_2021-01-17.jpg,0,ading m,ading m,,,,,0.071173691,0.06501548,0.006158211,,,
-71_02__-3_55_2021-01-17.jpg,0.0105,0.0006,0.00119928,,,,,0.063891578,0.09686935,-0.032977772,,,
-71_12__-3_77_2021-01-17.jpg,0.0548,0.0324,0.06276637,,,,,ading m,0.025276461,#VALEUR!,,,
-71_12__-3_81_2021-01-17.jpg,0.2,0.0291,0.056554271,,,,,0.00119928,0.040944265,-0.039744985,,,
-71_16__-3_81_2021-01-17.jpg,0.6984,0.087,0.160073597,,,,,0.06276637,0.132935026,-0.070168656,,,
-71_31__-3_68_2021-01-17.jpg,0.5,0.037,0.071359691,,,,,0.056554271,0.06501548,-0.008461209,,,
-71_31__-3_72_2021-01-17.jpg,0.0238,0.0038,0.007571229,,,,,0.160073597,0.162271433,-0.002197836,,,
-71_35__-3_64_2021-01-17.jpg,0.3958,0.0744,0.138495905,,,,,0.071359691,0.111247521,-0.03988783,,,
-71_35__-3_68_2021-01-17.jpg,0.0833,0.0209,0.040944265,,,,,0.007571229,0.056554271,-0.048983042,,,
-71_35__-3_72_2021-01-17.jpg,0.2543,0.0629,0.118355443,,,,,0.138495905,0.145916381,-0.007420476,,,
-71_39__-3_68_2021-01-17.jpg,0.4072,0.062,0.116760829,,,,,0.040944265,0.044201056,-0.003256791,,,
-71_48__-3_52_2021-01-17.jpg,0,ading m,ading m,,,,,0.118355443,0.11516351,0.003191933,,,
-71_48__-3_56_2021-01-17.jpg,0.3,0.0493,0.093967407,,,,,0.116760829,0.151571165,-0.034810336,,,
-71_52__-3_56_2021-01-17.jpg,0.1667,0.0274,0.053338524,,,,,ading m,0.044201056,#VALEUR!,,,
-71_56__-3_48_2021-01-17.jpg,0,ading m,ading m,,,,,0.093967407,0.113919276,-0.019951869,,,
-71_56__-3_6_2021-01-17.jpg,0.3733,0.0482,0.091967182,,,,,0.053338524,0.080429984,-0.02709146,,,
-71_64__-3_48_2021-01-17.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
-71_68__-3_44_2021-01-17.jpg,0.5,0.0369,0.071173691,,,,,0.091967182,0.128917579,-0.036950397,,,
-71_68__-3_48_2021-01-17.jpg,0.2,0.0291,0.056554271,,,,,ading m,0.053338524,#VALEUR!,,,
-71_68__-3_52_2021-01-17.jpg,0.5,0.0369,0.071173691,,,,,0.071173691,0.048209232,0.022964459,,,
-71_68__-3_56_2021-01-17.jpg,0.2,0.0291,0.056554271,,,,,0.056554271,0.048209232,0.008345039,,,
-73_74__-3_91_2019-09-03.jpg,0.0123,0.0021,0.004191198,,,,,0.071173691,0.071173691,0,,,
-73_78__-3_91_2019-09-03.jpg,0.1111,0.0236,0.046111762,,,,,0.056554271,0.053338524,0.003215747,,,
-73_82__-3_91_2019-09-03.jpg,0.0455,0.015,0.02955665,,,,,0.004191198,ading m,#VALEUR!,,,
,,,,,,,,0.046111762,0.00079968,0.045312082,,,
,,,,,,,,0.02955665,0.053338524,-0.023781874,,,
