-52_19__0_62_2019-09-24.jpg,0.5,0.0369,0.071173691,,mean IoU,mean Dice,,ilegalTrue vs ilegalAgri,,,,,
-63_6__3_7_2019-02-26.jpg,0,ading m,ading m,,,,,0.050682261,0.092876895,-0.042194634,,,
-63_635__3_705_2020-03-04.jpg,0.3095,0.0561,0.106239939,,,,,0.060512025,0.063141584,-0.002629559,,,
-63_635__3_705_2020-09-13.jpg,0.5,0.0369,0.071173691,,,,,ading m,0.061827696,#VALEUR!,,,
-63_635__3_705_2020-12-04.jpg,0,ading m,ading m,,,,,0.106239939,0.127866704,-0.021626765,,,
-63_635__3_75_2020-12-04.jpg,0.0078,0.0044,0.00876145,,,,,0.071173691,0.060323926,0.010849765,,,
-63_67__2_485_2018-03-15.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
-63_675__3_705_2020-03-04.jpg,0.1667,0.0312,0.060512025,,,,,0.00876145,0.031496063,-0.022734613,,,
-63_675__3_705_2020-12-04.jpg,0.05,0.0159,0.031302294,,,,,ading m,ading m,#VALEUR!,,,
-63_675__3_75_2020-03-04.jpg,0.125,0.0292,0.056743101,,,,,0.060512025,0.056743101,0.003768924,,,
-63_675__3_75_2020-09-13.jpg,0,ading m,ading m,,,,,0.031302294,ading m,#VALEUR!,,,
-63_675__3_75_2020-12-04.jpg,0,ading m,ading m,,,,,0.056743101,0.068192794,-0.011449693,,,
-63_68__3_7_2019-02-26.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
-63_68__3_74_2019-02-26.jpg,0.2,0.0291,0.056554271,,,,,ading m,0.050682261,#VALEUR!,,,
-63_71__2_485_2018-03-15.jpg,0.0066,0.0027,0.005385459,,,,,ading m,ading m,#VALEUR!,,,
-63_88__2_5_2020-09-18.jpg,0.034,0.0233,0.045538943,,,,,0.056554271,0.080429984,-0.023875713,,,
-63_92__2_5_2020-09-18.jpg,1,0.0429,0.082270592,,,,,0.005385459,0.071359691,-0.065974232,,,
-63_96__2_5_2020-09-18.jpg,0,ading m,ading m,,,,,0.045538943,0.087405566,-0.041866623,,,
-64_0__2_5_2020-09-18.jpg,0.2917,0.0476,0.09087438,,,,,0.082270592,0.183304569,-0.101033977,,,
-70_86__-3_47_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,,,ading m,0.014494192,#VALEUR!,,,
-70_88__-3_81_2021-01-17.jpg,0.25,0.0311,0.060323926,,,,,0.09087438,0.047637642,0.043236738,,,
-70_9__-3_51_2021-01-17.jpg,0.1936,0.0602,0.113563479,,,,,0.06501548,0.046111762,0.018903718,,,
-70_92__-3_81_2021-01-17.jpg,0.25,0.0337,0.06520267,,,,,0.060323926,0.053338524,0.006985402,,,
-70_94__-3_51_2021-01-17.jpg,0.32,0.0894,0.164127042,,,,,0.113563479,0.144884519,-0.03132104,,,
-70_96__-3_81_2021-01-17.jpg,0.25,0.0311,0.060323926,,,,,0.06520267,0.089415361,-0.024212691,,,
-70_98__-3_55_2021-01-17.jpg,0.0278,0.0196,0.03844645,,,,,0.164127042,0.163115356,0.001011686,,,
-71_02__-3_51_2021-01-17.jpg,0.0185,0.0161,0.031689794,,,,,0.060323926,0.06501548,-0.004691554,,,
-71_02__-3_55_2021-01-17.jpg,0.1111,0.0236,0.046111762,,,,,0.03844645,0.032657879,0.005788571,,,
-71_12__-3_77_2021-01-17.jpg,0.0746,0.0333,0.064453692,,,,,0.031689794,0.007571229,0.024118565,,,
-71_12__-3_81_2021-01-17.jpg,0.25,0.0311,0.060323926,,,,,0.046111762,0.018624926,0.027486836,,,
-71_16__-3_81_2021-01-17.jpg,0.2722,0.0695,0.129967274,,,,,0.064453692,0.061264056,0.003189636,,,
-71_31__-3_68_2021-01-17.jpg,0.25,0.0337,0.06520267,,,,,0.060323926,0.071173691,-0.010849765,,,
-71_31__-3_72_2021-01-17.jpg,0.2,0.0291,0.056554271,,,,,0.129967274,0.138322629,-0.008355355,,,
-71_35__-3_64_2021-01-17.jpg,0.28,0.0687,0.128567418,,,,,0.06520267,0.09922068,-0.03401801,,,
-71_35__-3_68_2021-01-17.jpg,0,ading m,ading m,,,,,0.056554271,0.050682261,0.00587201,,,
-71_35__-3_72_2021-01-17.jpg,0.3667,0.075,0.139534884,,,,,0.128567418,0.149518875,-0.020951457,,,
-71_39__-3_68_2021-01-17.jpg,0.1968,0.0433,0.083005847,,,,,ading m,ading m,#VALEUR!,,,
-71_48__-3_52_2021-01-17.jpg,0.0909,0.0217,0.042478223,,,,,0.139534884,0.103546368,0.035988516,,,
-71_48__-3_56_2021-01-17.jpg,0.1838,0.0463,0.088502342,,,,,0.083005847,0.125585754,-0.042579907,,,
-71_52__-3_56_2021-01-17.jpg,0.1111,0.0236,0.046111762,,,,,0.042478223,ading m,#VALEUR!,,,
-71_56__-3_48_2021-01-17.jpg,0,ading m,ading m,,,,,0.088502342,0.094875214,-0.006372872,,,
-71_56__-3_6_2021-01-17.jpg,0.1235,0.0461,0.088136889,,,,,0.046111762,0.080429984,-0.034318222,,,
-71_64__-3_48_2021-01-17.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
-71_68__-3_44_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,,,0.088136889,0.056931895,0.031204994,,,
-71_68__-3_48_2021-01-17.jpg,0.25,0.0311,0.060323926,,,,,ading m,ading m,#VALEUR!,,,
-71_68__-3_52_2021-01-17.jpg,0,ading m,ading m,,,,,0.06501548,0.06501548,-1.23839E-10,,,
-71_68__-3_56_2021-01-17.jpg,0.0556,0.017,0.033431662,,,,,0.060323926,0.071173691,-0.010849765,,,
-73_74__-3_91_2019-09-03.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
-73_78__-3_91_2019-09-03.jpg,0,ading m,ading m,,,,,0.033431662,0.06501548,-0.031583818,,,
-73_82__-3_91_2019-09-03.jpg,0.0714,0.0194,0.038061605,,,,,ading m,0.025081465,#VALEUR!,,,
,,,,,,,,ading m,0.03227076,#VALEUR!,,,
,,,,,,,,0.038061605,0.036713458,0.001348147,,,
