-70_94__-3_51_2021-01-17.jpg,0.5,"0, 0.0383"
-70_96__-3_81_2021-01-17.jpg,0.0285,"0, 0.0211"
-70_98__-3_55_2021-01-17.jpg,0,"0, 0.0)\n"
-71_02__-3_51_2021-01-17.jpg,0,"0, 0.0)\n"
-71_02__-3_55_2021-01-17.jpg,0.0211,"0, 0.0142"
-71_12__-3_77_2021-01-17.jpg,1,"0, 0.0436"
-71_12__-3_81_2021-01-17.jpg,0.8333,"0, 0.0920"
-71_16__-3_81_2021-01-17.jpg,0.3611,"0, 0.0580"
-71_31__-3_68_2021-01-17.jpg,0.0909,"0, 0.0221"
-71_31__-3_72_2021-01-17.jpg,0.6875,"0, 0.0902"
-71_35__-3_64_2021-01-17.jpg,0,"0, 0.0)\n"
-71_35__-3_68_2021-01-17.jpg,0.5111,"0, 0.0770"
-71_35__-3_72_2021-01-17.jpg,0.3769,"0, 0.0775"
-71_39__-3_68_2021-01-17.jpg,0.0169,"0, 0.0051"
-71_48__-3_52_2021-01-17.jpg,0.1472,"0, 0.0373"
-71_48__-3_56_2021-01-17.jpg,0.0714,"0, 0.0199"
-71_52__-3_56_2021-01-17.jpg,0,"0, 0.0)\n"
-71_56__-3_48_2021-01-17.jpg,0.0857,"0, 0.0369"
-71_56__-3_6_2021-01-17.jpg,0,"0, 0.0)\n"
-71_64__-3_48_2021-01-17.jpg,0.5,"0, 0.0378"
-71_68__-3_44_2021-01-17.jpg,0.1111,"0, 0.0238"
-71_68__-3_48_2021-01-17.jpg,0,"0, 0.0)\n"
-71_68__-3_52_2021-01-17.jpg,0.1111,"0, 0.0238"
-71_68__-3_56_2021-01-17.jpg,0,"0, 0.0)\n"
-73_74__-3_91_2019-09-03.jpg,0.1111,"0, 0.0241"
-73_78__-3_91_2019-09-03.jpg,0.0227,"0, 0.0081"
-73_82__-3_91_2019-09-03.jpg,0.0414,"0, 0.0205"
-56_16__-2_54_2020-09-06.jpg,1,"1, 0.1731"
-56_2__-2_54_2020-09-06.jpg,0.2,"1, 0.0739"
-56_24__-2_5_2020-09-06.jpg,0.5,"1, 0.1457"
-59_16__2_19_2020-09-12.jpg,0.6667,"1, 0.1928"
-59_16__2_23_2020-09-12.jpg,1,"1, 0.5)\n"
-59_2__2_15_2020-09-12.jpg,0,"1, 0.0)\n"
-59_2__2_19_2020-09-12.jpg,0.5,"1, 0.1519"
-63_36__-10_0_2018-07-25.jpg,0,"1, 0.0)\n"
-63_36__-10_04_2018-07-25.jpg,0,"1, 0.0)\n"
-63_36__-10_08_2018-07-25.jpg,0.2533,"1, 0.1076"
-63_36__-9_88_2018-07-25.jpg,0.0417,"1, 0.0122"
-63_36__-9_92_2018-07-25.jpg,0.0577,"1, 0.0284"
-63_36__-9_96_2018-07-25.jpg,0.0833,"1, 0.0355"
-63_4__-10_0_2018-07-25.jpg,0.0263,"1, 0.0187"
-63_4__-10_04_2018-07-25.jpg,0.1958,"1, 0.0820"
-63_4__-10_08_2018-07-25.jpg,0.0095,"1, 0.0075"
