img,class1 IoU, class2 IoU, class3 IoU, m1, m2, m3 ,p1, p2, p3,,mean c2,mean c3,nb false detection,set1 - set 2 c2,set 1 - set 2 c3,,img,class1 IoU, class2 IoU, class3 IoU, m1, m2, m3 ,p1, p2, p3,,mean c2,mean c3,nb of false detection
,,0.125702247,0,,,,,,,,,,,,,,,,0.544134332,0,,,,,,,,,,
,,0.15936255,0,,,,,,,,,,,,,,,,0.262548263,0,,,,,,,,,,
,,0.397782064,0,,,,,,,,,,,,,,,,0.14403841,0,,,,,,,,,,
,,0.047976012,0,,,,,,,,,,,,,,,,0.204708291,0,,,,,,,,,,
,,0.053949904,0,,,,,,,,,,,,,,,,0.137693632,0,,,,,,,,,,
,,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,0.229965157,0,,,,,,,,,,,,,,,,0.152727273,0,,,,,,,,,,
,,0,0.705516014,,,,,,,,,,,,,,,,0,0.658947368,,,,,,,,,,
,,0.357894737,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,0.06340819,0,,,,,,,,,,,,,,,,0.296712109,0,,,,,,,,,,
,,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,0,0,,,,,,,,,,,,,,,,0.006703911,0,,,,,,,,,,
,,0.131596091,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,0.531036957,0,,,,,,,,,,,,,,,,0.285651311,0,,,,,,,,,,
