image;loss;accuracy;iou;dice;tp;tn
./data/test/image/-71_35__-3_72_2021-01-17.jpg;0.04552482068538666;0.0;0.6655073761940002;0.7991716265678406;1.0;1.0
./data/test/image/-52_95__-0_31_2018-10-14.jpg;0.0043709008023142815;0.0;0.6507871150970459;0.7885235548019409;1.0;1.0
./data/test/image/-52_95__-0_19_2018-10-14.jpg;0.0043450226075947285;0.0;0.6267581582069397;0.7706396579742432;1.0;1.0
./data/test/image/-53_78__0_4_2019-09-24.jpg;0.002162668388336897;0.0;0.6367607116699219;0.7782235741615295;1.0;1.0
./data/test/image/-70_9__-3_47_2021-01-17.jpg;8.585640898672864e-05;0.0;0.04866287112236023;0.17231795191764832;1.0;1.0
./data/test/image/-52_31__0_62_2019-09-24.jpg;0.0014203134924173355;0.0;0.4493286609649658;0.6206685900688171;1.0;1.0
./data/test/image/-53_19__-0_27_2018-10-14.jpg;0.0068387556821107864;0.0;0.6611580848693848;0.7960594296455383;1.0;1.0
./data/test/image/-71_64__-3_52_2021-01-17.jpg;3.818762343144044e-05;0.0;0.0027170260436832905;0.2763579785823822;1.0;1.0
./data/test/image/-53_38__-0_13_2019-09-24.jpg;0.0050567444413900375;0.0;0.5546481609344482;0.7136398553848267;1.0;1.0
./data/test/image/-53_7__0_44_2019-09-24.jpg;0.011063236743211746;0.0;0.7428462505340576;0.8524643182754517;1.0;1.0
./data/test/image/-71_12__-3_81_2021-01-17.jpg;0.011995756067335606;0.0;0.8659631013870239;0.9281701445579529;1.0;1.0
